,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match No
117,115*,104,66,18,1,174.24,3,not out,2,v Australia,Nagpur,30 Oct 2013,ODI # 3424
118,0,4,3,0,0,0.00,3,run out,1,v Australia,Bengaluru,2 Nov 2013,ODI # 3428
119,86,120,84,9,2,102.38,3,caught,2,v West Indies,Kochi,21 Nov 2013,ODI # 3436
120,99,159,100,9,0,99.00,3,caught,1,v West Indies,Visakhapatnam,24 Nov 2013,ODI # 3437
121,19,19,18,3,0,105.55,3,caught,2,v West Indies,Kanpur,27 Nov 2013,ODI # 3439
122,31,41,35,5,0,88.57,3,caught,2,v South Africa,Johannesburg,5 Dec 2013,ODI # 3442
123,0,7,5,0,0,0.00,3,caught,2,v South Africa,Durban,8 Dec 2013,ODI # 3443
124,TDNB,-,-,-,-,-,-,-,-,v South Africa,Centurion,11 Dec 2013,ODI # 3444
125,123,179,111,11,2,110.81,3,caught,2,v New Zealand,Napier,19 Jan 2014,ODI # 3456
126,78,88,65,7,2,120.00,3,caught,2,v New Zealand,Hamilton,22 Jan 2014,ODI # 3458
127,6,27,20,1,0,30.00,3,caught,2,v New Zealand,Auckland,25 Jan 2014,ODI # 3462
128,2,14,10,0,0,20.00,2,caught,1,v New Zealand,Hamilton,28 Jan 2014,ODI # 3465
129,82,129,78,7,3,105.12,3,caught,2,v New Zealand,Wellington,31 Jan 2014,ODI # 3467
130,136,157,122,16,2,111.47,3,bowled,2,v Bangladesh,Fatullah,26 Feb 2014,ODI # 3474
131,48,66,51,4,1,94.11,3,bowled,1,v Sri Lanka,Fatullah,28 Feb 2014,ODI # 3476
132,5,29,11,0,0,45.45,3,caught,1,v Pakistan,Mirpur,2 Mar 2014,ODI # 3479
133,DNB,-,-,-,-,-,-,-,2,v Afghanistan,Mirpur,5 Mar 2014,ODI # 3483
134,0,1,3,0,0,0.00,3,caught,1,v England,Cardiff,27 Aug 2014,ODI # 3517
135,40,67,50,2,1,80.00,3,caught,2,v England,Nottingham,30 Aug 2014,ODI # 3520
136,1*,9,3,0,0,33.33,3,not out,2,v England,Birmingham,2 Sep 2014,ODI # 3523
137,13,25,21,2,0,61.90,3,caught,2,v England,Leeds,5 Sep 2014,ODI # 3525
138,2,7,5,0,0,40.00,3,caught,2,v West Indies,Kochi,8 Oct 2014,ODI # 3531
