Column1,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match No
113,118,-,140,8,2,84.28,2,caught,1,v Pakistan,Sharjah,15-04-1996,ODI # 1098
114,17,32,26,2,0,65.38,2,caught,1,v South Africa,Sharjah,17-04-1996,ODI # 1100
115,57,104,71,6,0,80.28,2,run out,2,v South Africa,Sharjah,19-04-1996,ODI # 1101
116,30,30,19,5,1,157.89,2,lbw,2,v England,The Oval,23-05-1996,ODI # 1102
117,6,26,19,0,0,31.57,2,run out,1,v England,Leeds,25-05-1996,ODI # 1103
118,1,18,11,0,0,9.09,2,caught,1,v England,Manchester,26-05-1996,ODI # 1104
119,110,-,138,5,1,79.71,2,run out,1,v Sri Lanka,Colombo (RPS),28-08-1996,ODI # 1106
120,40,60,46,8,0,86.95,2,caught,2,v Zimbabwe,Colombo (SSC),01-09-1996,ODI # 1110
121,7,24,11,1,0,63.63,2,caught,1,v Australia,Colombo (SSC),06-09-1996,ODI # 1113
122,89*,-,89,9,3,100.00,2,not out,2,v Pakistan,Toronto,16-09-1996,ODI # 1115
123,20,-,23,3,0,86.95,2,caught,1,v Pakistan,Toronto,17-09-1996,ODI # 1116
124,2,-,13,0,0,15.38,2,caught,1,v Pakistan,Toronto,18-09-1996,ODI # 1117
125,3,-,9,0,0,33.33,2,caught,2,v Pakistan,Toronto,21-09-1996,ODI # 1118
126,23,-,44,0,1,52.27,2,run out,2,v Pakistan,Toronto,23-09-1996,ODI # 1119
127,11,20,8,2,0,137.50,2,caught,2,v South Africa,Hyderabad (Deccan),17-10-1996,ODI # 1127
128,88,189,111,9,0,79.27,2,lbw,2,v Australia,Bengaluru,21-10-1996,ODI # 1129
129,64,133,93,3,0,68.81,2,caught,2,v South Africa,Jaipur,23-10-1996,ODI # 1130
130,28,55,38,5,0,73.68,1,lbw,1,v South Africa,Rajkot,29-10-1996,ODI # 1132
131,62,-,61,8,0,101.63,1,caught,1,v Australia,Mohali,03-11-1996,ODI # 1137
132,67,128,88,6,0,76.13,2,caught,1,v South Africa,Wankhede,06-11-1996,ODI # 1138
133,114,157,126,14,0,90.47,1,stumped,1,v South Africa,Wankhede,14-12-1996,ODI # 1151
134,0,12,4,0,0,0.00,2,bowled,2,v South Africa,Bloemfontein,23-01-1997,ODI # 1167
135,6,8,8,1,0,75.00,1,caught,2,v Zimbabwe,Paarl,27-01-1997,ODI # 1169
136,1,14,14,0,0,7.14,4,bowled,1,v South Africa,Gqeberha,02-02-1997,ODI # 1172
137,14,34,24,2,0,58.33,3,caught,1,v South Africa,East London,04-02-1997,ODI # 1173
138,41,81,56,1,1,73.21,4,caught,1,v Zimbabwe,Centurion,07-02-1997,ODI # 1174
139,104,121,97,8,1,107.21,2,caught,2,v Zimbabwe,Benoni,09-02-1997,ODI # 1175
140,32,55,27,6,0,118.51,2,caught,1,v South Africa,Durban,12-02-1997,ODI # 1176
141,45,48,33,7,1,136.36,2,caught,2,v South Africa,Durban,13-02-1997,ODI # 1177
142,13,18,15,0,1,86.66,2,caught,1,v Zimbabwe,Bulawayo,15-02-1997,ODI # 1178
143,44,57,43,10,0,102.32,1,caught,1,v West Indies,Port of Spain,26-04-1997,ODI # 1200
144,65*,111,70,7,0,92.85,1,not out,2,v West Indies,Port of Spain,27-04-1997,ODI # 1201
145,9,22,15,1,0,60.00,1,bowled,2,v West Indies,Kingstown,30-04-1997,ODI # 1202
146,1,17,11,0,0,9.09,1,caught,1,v West Indies,Bridgetown,03-05-1997,ODI # 1203
147,117,188,137,13,2,85.40,2,bowled,2,v New Zealand,Bengaluru,14-05-1997,ODI # 1206
148,2,19,4,0,0,50.00,2,caught,1,v Sri Lanka,Wankhede,17-05-1997,ODI # 1207
149,4,10,7,1,0,57.14,1,caught,2,v Pakistan,Chennai,21-05-1997,ODI # 1209
